proper,HR,RA2000,DEJ2000,Vmag
Segin,542,1.906584,63.670101,3.35
Sheratan,553,1.910668,20.808035,2.64
NA,551,1.914938,40.702034,6.25
NA,570,1.915572,-67.647303,4.68
NA,552,1.916015,37.12829,6.28
NA,571,1.929576,-60.860975,6.07
NA,593,1.930642,-78.348548,6.15
NA,559,1.930844,23.577322,5.76
NA,560,1.93162,1.849982,6.01
NA,556,1.9318,37.277786,5.89
NA,566,1.932564,-51.608896,3.69
NA,548,1.933337,68.685242,4.97
NA,557,1.935927,37.25183,5.69
NA,565,1.944499,-22.526785,4.92
NA,573,1.949961,-51.766244,6.1
NA,574,1.952792,-47.385277,4.82
NA,563,1.955848,17.817532,5.09
NA,564,1.962151,27.804381,5.84
NA,584,1.964821,-65.4247,6.36
NA,569,1.965478,23.596061,4.79
NA,562,1.965657,41.69456,6.77
NA,576,1.974078,-33.066787,6.37
NA,561,1.975896,61.697788,6.02
NA,568,1.975973,49.204352,5.7
NA,591,1.979451,-61.569859,2.86
NA,578,1.990524,12.294876,6.09
NA,577,1.993244,21.05857,5.89
NA,567,1.993892,64.621602,5.29
NA,588,1.994118,-42.030532,5.57
NA,600,1.99475,-66.066558,6.09
NA,583,1.996166,-20.824539,5.43
NA,585,2.000084,-21.077831,3.99
NA,582,2.002544,3.097015,5.89
NA,587,2.007451,-8.523873,5.43
NA,594,2.020759,-30.00183,5.34
NA,602,2.02844,-44.713509,5.15
NA,575,2.032644,70.90702,4.49
Alrescha,595,2.034117,2.763759,3.82
NA,590,2.038359,54.487541,4.99
NA,606,2.041185,-29.665642,6.4
NA,601,2.043077,13.476716,5.97
NA,586,2.047913,64.901466,6.0
NA,572,2.049177,77.916263,6.04
NA,599,2.049433,33.284135,5.5
NA,608,2.049602,-15.305932,5.87
NA,589,2.050052,64.390018,5.59
NA,579,2.052914,73.85057,6.12
NA,607,2.053236,0.128507,5.42
NA,580,2.057268,72.421294,3.95
NA,605,2.060927,25.935471,5.64
NA,611,2.061247,-4.103516,5.61
NA,609,2.061836,18.253238,6.24
NA,610,2.063381,-0.340251,5.96
Almach,603,2.064984,42.329725,2.1
NA,612,2.074844,-29.296819,4.68
NA,598,2.077749,65.103503,6.52
NA,581,2.085315,77.281341,5.27
NA,592,2.092103,76.11506,5.22
NA,614,2.103406,8.248114,6.27
NA,616,2.108141,0.035384,6.29
NA,613,2.109423,22.648317,5.03
NA,615,2.113676,25.704553,6.01
Hamal,617,2.119555,23.462423,2.01
NA,620,2.141454,37.859077,4.78
NA,619,2.142655,44.459429,6.38
NA,618,2.144606,58.423601,5.66
NA,625,2.146017,-17.779155,6.07
NA,632,2.152584,-43.516596,5.84
NA,624,2.156419,17.224196,6.4
NA,623,2.157036,25.939892,4.98
NA,597,2.157062,81.295945,6.05
NA,622,2.159058,34.987297,3.0
NA,630,2.159668,-24.345785,6.48
NA,636,2.168,-43.815574,6.32
NA,621,2.168817,53.843091,6.31
NA,637,2.173673,-50.823725,6.12
NA,631,2.177109,19.500338,5.68
NA,628,2.181342,39.039526,6.09
NA,629,2.181575,39.043286,6.82
NA,633,2.186682,25.936938,6.01
NA,635,2.189189,8.569805,5.64
NA,638,2.189507,-10.052162,6.0
NA,634,2.190283,31.526398,6.24
NA,627,2.191443,57.645543,6.38
NA,639,2.193287,-1.825429,5.94
NA,642,2.206191,30.303067,4.94
NA,644,2.210427,24.167778,5.96
NA,650,2.213206,-2.393637,5.65
NA,646,2.213355,21.210993,5.23
NA,652,2.21513,-30.723825,5.27
NA,649,2.216665,8.846717,4.36
NA,651,2.21694,-21.000137,5.86
NA,648,2.217584,15.27986,5.72
NA,643,2.220369,44.231652,4.84
NA,626,2.22252,74.027721,6.25
NA,645,2.226728,51.065818,5.31
NA,641,2.228225,58.560586,6.43
NA,647,2.234022,47.484241,6.05
NA,667,2.237366,-67.841441,5.57
NA,640,2.241417,66.524428,6.05
NA,659,2.242208,-41.166765,5.91
NA,658,2.257864,-9.466528,6.55
NA,678,2.25794,-67.746366,5.67
NA,657,2.261884,25.043043,5.57
NA,656,2.262789,25.782937,5.79
NA,655,2.265635,33.358895,5.25
NA,653,2.266033,47.811937,6.37
NA,674,2.275154,-51.512165,3.56
NA,654,2.281032,57.055246,6.48
NA,666,2.283068,-6.422116,5.51
Deltoton,660,2.284191,34.224231,4.84
NA,665,2.286234,23.767832,6.53
NA,664,2.288573,33.847194,4.03
NA,663,2.292489,44.304935,8.6
NA,661,2.29996,57.89982,5.75
NA,672,2.3004,1.757802,5.6
NA,662,2.301275,57.516321,5.99
NA,669,2.302094,19.901164,5.58
NA,675,2.315831,28.642674,5.29
NA,676,2.316097,23.167815,6.45
NA,683,2.316255,-25.945687,6.33
NA,671,2.319675,46.472261,6.21
NA,670,2.321337,47.379973,5.31
Mira,681,2.322442,-2.977643,6.47
NA,673,2.322974,48.955463,6.44
NA,686,2.323546,-41.848367,6.36
NA,677,2.327021,39.834946,6.63
NA,684,2.327994,-4.345573,6.5
NA,688,2.331739,-55.944796,5.81
NA,680,2.334571,30.188088,6.51
NA,668,2.336906,64.336949,6.59
NA,679,2.344864,47.310804,6.17
